Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
q		1.2.2	perfect	perfekt	/uan|mei	absolut.us	purfe	scu	fpe		$x_1$ is perfect	Has no flaws, cannot be changed to match its standard better.  |fta for the standard.
q		1.2.2	complete	kumplit	/uan/ciuan	absolut.us	kapli	fpe	scu		(vo) $x_1+$ is complete	|fta for the standard.
t		1.2.3	How an Activity is Done	-	-	-			123			
r		1.2.3	weak	uik	|ruan!ruo	ynfyrm.us	fibru	vaw	fru		$x_1:$ is weak in activity (vo) $x_2+1$	
r		1.2.3	lazy	laizi	|lan!duo	pyger	lazni*		gla		$x_1:$ is lazy about activity (vo) $x_2+1$	
r		1.2.3	care	kar	/liou-sin	dilygens		vra,kar	gli		$x_1:$ does activity (vo) $x_2+1$ carefully	
r		1.2.3	crazy,mad,insane	krazi	-few/kuaw	kerit.us	fenki*	ksa,tul,smi	ker		$x_1:$ is crazy to do activity (vo) $x_2+1$	|ciw for holder of opinion.
r		1.2.3	clumsy	klumsi	!ben	ynept.us	juxre*		klm		$x_1:$ is clumsy doing activity (vo) $x_2+1$	
r		1.2.3	difficult,hard	dyfyk#lt	!ku#/nan	vikx	nardu	kyl	kly		actor $x_1$ does activity (vo) $x_2+1$ with difficulty	
r		1.2.3	fast,quick	fast	!kuai	keler	kukra	slo	kua		$x_1:$ is faster than usual in activity (vo) $x_2+1$	
r		1.2.3	easy	izi	/ruw-i	fakyl.ys	fasru	kly	kyl		$x_1:$ does activity (vo) $x_2+1$ easily	
r		1.2.3	slow	slo	!man	tard.us	slano	kua	slo		$x_1:$ is slower than usual in activity (vo) $x_2+1$	
r		1.2.3	wise	uaiz	-tsuw-miw	sapyens	sadji	ker,pew,tul	smi		$x_1:$ is wise about affair (vo) $x_2+1$	
r		1.2.3	fool,dumb,stupid	ful	!u/ren	stult.us	bunbo	ker,smi	tul		$x_1:$ is foolish to do activity (vo) $x_2+1$	|ciw for holder of opinion.
r		1.2.3	strong	strow	/ciaw!juaw	valyd.us	fotli	fru	vaw		$x_1:$ is strong in activity (vo) $x_2+1$	
r		1.2.3	violent	vaiolnt	|m#w!lie	vehemens	valna	zen	vme		$x_1:$ does activity (vo) $x_2+1$ violently	
r		1.2.3	serious,care	siri#s	/ian!juw	grav.ys	srisu	gli	vra		$x_1:$ does activity (vo) $x_2+1$ seriously	Takes extra care, does not give it up.  For a serious affair, use -zu -vra.
r		1.2.3	gentle	jentl	/uen|ia	len.ys	mildo	vme	zen		$x_1:$ does activity (vo) $x_2+1$ gently	
r		1.2.3,2.1.4	famous,fan	famus	/miw!u	praeklar.us	famva		fmu		$x_1:$ is famous for activity (vo) $x_2+1$ among fans (xy) $x_3s$	-zu -fmu for a famous event.
r		1.2.3,2.1.4	hide,secret	haid	/tsaw	abd.ere	smike	bzo	saw		$x_1:$ hides secret (vo) $x_2+1$ from $x_3:$	To hide an object, be sure to use -vn to cancel -vo.
r		1.2.3,2.5.2	tired	taird	/pi/fa	fes.us	tarle		fei		$x_1:$ is tired from activity (vo) $x_2+1$	
t		1.2.4	Opinions and Emotional Properties	-	-	-			124			
r		1.2.4	public	p#blyk	-guw!guw	komun.ys	publi	pro	bly		$x_1$ is public	Accessible to all people.  |tue for the culture.
q		1.2.4	precious	preq#s	|bau!guei	pretyos.us	dipri	val	spe		$x_1$ is precious	|gae for who feels emotion.  A subjective judgement.
q		1.2.4	beautiful	biutyful	!piau-liaw	pulker	bilti		fpl		$x_1$ is beautiful	|ciw for the experiencer.
q		1.2.4	comfortable	komfortabl	-qu-fu	komod.us	komfu		kfo		$x_1$ is comfortable	|ciw for experiencer.  Example: comfortable bed.
q		1.2.4	funny	f#ni	-huan!le	rydykul.ys	kamki	qya,fry	kqn		(vo) $x_1$ is funny	|gae for experiencer.
q		1.2.4	sane	sain	|uen!jian	san.us	xrali*	ker	ksa		$x_1$ is sane	|ciw for the one who thinks so.
q		1.2.4	harmony	harm#ni	/i!jr	konkors	harmo		ksr		(vo) $x_1$ is harmonious	|ciw for experiencer.
q		1.2.4	delicious	dilyq#s	|mei!uei	suav.ys	dilko		ksu		$x_1$ is delicious	|ciw for experiencer.  In the sense of food.
q		1.2.4	novel,new	nu	-sin	nov.us	cninu	psw,ksi	psn		$x_1$ is new, novel in aspect (vo) $x_2+1$	|ciw for the experiencer.  Use -ksi for fresh or unused.
q		1.2.4	ordinary	ordynari	|pu-tuw	usytat.us	danri	psn,csn	psw		$x_1$ is ordinary in aspect (vo) $x_2+1$	|ciw for experiencer.
r		1.2.4	value	valiu	-gu!jia	aestym.are	vatli	spe,sri	val		$x_1:$ values $x_2:*$	X1 has a static, quantitative opinion.  Use modal unit to say how much.
q		1.2.4	neat	nit	|jew/ci		nitci		cfi		$x_1$ is neat	Typically a system of neatly organized parts but can be a process.  |ciw for holder of opinion.  Use -vgn for clean.
q		1.2.4	great	grait	|uei!da	grand.ys	grada		zgr		$x_1$ is great, accomplished much in dimension (vo) $x_2+1$	Being looked up to, accomplishment, not size.  |ciw for who holds the opinion, |fta for standard.
q		1.2.4,1.5.5	unimportant,by~the~way	#nymportnt	/bu!juw!iau	lev.is		tfn	fpo		$x_1$ is unimportant in dimension (vo) $x_2+1$	|ciw for holder of opinion.  -vi -zo -fpo means ``by the way''.
q		1.2.4,1.5.5	strange	strainj	/ci!guai	ynsolyt.us	gutra	psw,zgn	csn		$x_1$ is strange	Not ordinary.  |ciw for experiencer.
q		1.2.4,1.5.5	important	ymportnt	!iau|jin	moment.um	djipo	fpo	tfn		$x_1$ is important in dimension (vo) $x_2+1$	|ciw for holder of opinion.
q		1.2.4,1.5.5	sudden	s#dn	-hu/ran	subyt.us	sudna		tsu		(vo) $x_1$ is sudden	|sen for experiencer.
q		1.2.4,4.7.1	alien	alien	!uay/guo	peregryn.us	fange*	spi,csn	zgn		$x_1$ is alien, not a member of the local culture	|ciw for experiencer (feelings of alienation are not objective).
t		1.2.5	Miscellaneous Properties	-	-	-			125			
q		1.2.5	good	g#d	-iou|dian	bon.us	gudbi	stu,vdo	dvn		$x_1$ is good for purpose (vo) $x_2+1$	|ciw for holder of opinion.
q		1.2.5	wealthy	uelti	/cian/tsai	dyv.es	fulri	spu	dvy		$x_1$ is wealthy in kind of wealth (xo) $x_2*$	
q		1.2.5	tight	tait	|jin	strikt.us	djitu	ksw	bzi		$x_1:$ is tight on or around $x_2:*$	Not for absence of leaks.
q		1.2.5	evil	ivyl	/sie!e	mal.us	palci*	stu,vdo,xai	psi		$x_1$ is evil	X1 does things that motivate people to hate it (q.v.)  |ciw for holder of opinion.
q		1.2.5	poor	pur	!pin/ciuw	pauper	purcu	dvy	spu		$x_1$ is poor in kind of wealth (xo) $x_2*$	
q		1.2.5	unsuitable,bad	bad	!huai	turp.ys	zavlo	dvn,psi	stu		$x_1$ is bad, unsuitable for purpose (vo) $x_2+1$	|ciw for holder of opinion.  Use |psi for evil.
q		1.2.5	good	gud	!qa!ne	prob.us	gudbi	stu	vdo		$x_1$ is good	Opposite of evil.  |ciw for holder of opinion.
q		1.2.5,2.1.3	brave	brav	|iuw|gan	fort.ys	briga		tfo		$x_1$ is brave in danger (vo) $x_2+1$	
r		1.2.5,3.6.1	concentrate,dense	kansentraqn	/ji-juw		-	spn	qnr		$x_1$ is a concentrated occupant of territory $x_2*$	Includes dense population and concentrated solutions.
t		1.3.0	Objective Properties	-	-	-			130			
t		1.3.1	Size and Shape	-	-	-			131			Use |vrl for a reference frame to interpret horizontal and vertical properties.
q		1.3.1	thin	tyn	/buo	grakyl.ys	linco	kqo	bzy		$x_1$ is thin	Smallest dimension is much smaller than other(s).
q		1.3.1	deep	dip	-qen	profund.#s	condi		fpn		$x_1$ is deep	Extends far down.  Not for ``far from entrance'' unless entrance is at the top.
q		1.3.1	narrow	nero	|jai	angust.us	janro		gvn		$x_1$ is narrow	Horizontal dimension is much less than the other(s).
r		1.3.1	point,vertex	point	-jien-duan	akumen	penta	qku,zdi	jin		$x_1$ is a point of shape $x_2*$	``Pointed''.  An acute vertex, like the point of a knife.
q		1.3.1	big	byg	!da	magn.us	groda	tfa	kqa		$x_1$ is big	Neutral connotation.
q		1.3.1	thick	tyk	!hou	kras.us	totnu	bzy	kqo		$x_1$ is thick	Smallest dimension is large relative to the others.
q		1.3.1	short	qort	|duan	brev.ys	corta		pqo		$x_1$ is short	Longest dimension is not very big.
q		1.3.1	small	smal	|siau	parv.us	cmalo		spl		$x_1$ is small	
q		1.3.1	broad	brad	-kuan	lat.us	kubra		bzu		$x_1$ is broad	2nd largest dimension is almost as large as the biggest.
q		1.3.1	bent	bent	-uan-ciu	kurv.us	betcu	psa,fle	vbn		$x_1$ is bent	Implies usually straight, or was once straight.
q		1.3.1	shallow	qalo	|cian	vados.us	caxno*		xdo		$x_1$ is shallow	Extends short way down.
q		1.3.1	long	law	/qaw	long.us	langa		xgl		$x_1$ is long	Longest dimension is big.
q		1.3.1,1.3.5	sharp	qarp	!li	akut.us	kinku	jin	qku		$x_1$ is sharp	Vertex or dihedral has a small angle or is not rounded off.
q		1.3.1,1.3.7	large,rotund,fat	fat	!paw	rotund.us	fotpa	kqa,deri	tfa		$x_1$ is large	Larger than standard or useful.  Use -cul -deri to emphasize fat content.
t		1.3.2	Other Static Dimensions	-	-	-			132			
q		1.3.2	light	lait	-ciw	lev.ys	latci	vga,xgy,vaw,xgm	gvi		$x_1$ is light	Has little mass.  Use -xgm for brilliant.
r		1.3.2	full,swollen	ful	-cuw|man	plen.us	folma	gai,vel,toum,fpw	cul		container $x_1$ is full of content (xo) $x_2*$	
q		1.3.2	empty	empti	-kow	ynan.ys	kunti*	cul,zua	fpw		$x_1$ is empty of content (xo) $x_2*$	X1 is a container that could contain X2 but doesn't.
q		1.3.2	taut,tense,strain	tat	|jin-jaw	poryg.ere	trati*	ten	gzy		$x_1:$ is taut over $x_2:$	For between two points, X2 is a set.  Engineering strain is different.
q		1.3.2	simple	sympl	|jian-dan	sympleks	sapla	skm	psy		$x_1$ is simple	Has few parts or steps.
q		1.3.2	pure	piur	/cu#n/jie	pur.us	punfo		fcu		$x_1$ is pure	Meets a high standard (|fta) for impurities included.
q		1.3.2	dense	dens	/nuw!ho	dens.us		qnr	spn		$x_1$ is dense	For mass density and dense fur.  Use -qnr for concentrated.
q		1.3.2	heavy	hevi	!juw	grav.ys	tidjo	gvi,vaw,xgy	vga		$x_1$ is heavy	Has much mass.  Use -vaw for strength, -xgy for stiffness.
q		1.3.2	clean	klin	-gan!jiw	pur.us	klini		vgn		$x_1$ is clean	
q		1.3.2	expensive	ekspensiv	!guei	sumptuos.us	kusti		zgu		$x_1$ is expensive for purpose (vo) $x_2+1$	
q		1.3.2	complicated	kamplykated	!fu/dza	multypleks	pluja*	psy	skm		$x_1$ is complicated	Has many parts or steps.
q		1.3.2,1.3.5	hard	hard	-gaw!iw	dur.us	hardu	ftm,kly	zdr		$x_1$ is hard	Resists scratching or cutting.  Use -kly for difficult.
q		1.3.2,1.4.1	steep	stip	/suan/iai	praekeps	slopu		spr		$x_1$ is steep	At a high angle to the horizontal.
t		1.3.3	Dynamic Qualities	-	-	-			133			
q		1.3.3	pressure	presiur	-ia!li	pres.us	danre*		fpi		$x_1$ is under pressure	|pa for how much.  Physical; needs metaphor for emotional pressure.
q		1.3.3	frequent	frikuent	/qaw/qaw	frekuens	pifno	sur,xer	tfr		(vo) $x_1$ occurs frequently	
q		1.3.3	loud	laud	!da-qew	klar.us	clado	vji	kqe		$x_1$ is loud	Lots of sound.  
q		1.3.3	energy	enerji	!ci!li	vis	nerji		qci		$x_1$ is energetic	Applies to objects or events.
q		1.3.3	hot	hat	!r#	kalyd.us	hatro	zgy	qky		$x_1$ is hot	|pa for actual temperature.  Use -zao |qky for hot flavor.
q		1.3.3	quiet	kuaiet	-an!jiw	kuyet.us	santi	kqe	vji		$x_1$ is quiet	
r		1.3.3	periodic,daily,annual,hourly,monthly	periadyk	!dzai-san	yter.are	rilri	tfr,zai	xer		event (vo) $x_1$ is periodic with period (xu) $x_2*$	
q		1.3.3	cold	kold	|l#w	frygyd.us	kleda	qky	zgy		$x_1$ is cold	In temperature.  |pa for actual temperature.
q		1.3.3,1.3.5	viscous	vysk#s	/nuw	tenaks	viknu*		ksn		$x_1$ is viscous	
r		1.3.3,1.3.6	sound	saund	|hau!siaw			fsn,tia	sau		$x_1$ sounds like prototype (xi) $x_2*$	Similar in sound.  Not for generalized similarity (-smy).
t		1.3.4	Colors and Appearance	-	-	-			134			
q		1.3.4	saturated,bright	satiurated	-sian!ian	splendyd.us		xgm,sfe	fsi		$x_1$ is saturated in color	Use -qnr |tmy for chemical or solution saturation.
q		1.3.4	red	red	/huw	ruber	redro		dvr		$x_1$ is red	
q		1.3.4	violet	vaiolet	-ciw/lian			qta	fci		$x_1$ is violet	A color beyond blue.
q		1.3.4	blue	blu	/lan	kaerule.us	blanu		fkl		$x_1$ is blue	
q		1.3.4	brown	braun	-ka-fei	fusk.us	brona		kfu		$x_1$ is brown	
q		1.3.4	clear,transparent	klir	!tou/miw	perlukid.us	kliri		kqi		$x_1$ is clear or transparent	
q		1.3.4	gray	grai	-huei	kain.us	grisi		qki		$x_1$ is gray	
q		1.3.4	purple,magenta	majenta	|dz	purpura		fci	qta		$x_1$ is magenta	Also purple.  These are red plus blue.
q		1.3.4	cyan	sian	/lan				sca		$x_1$ is cyan	This is green plus blue.
q		1.3.4	dark	dark	-hei	obskur.us	draka	xgm,sfe	skr		$x_1$ is dark	Low intensity color or lacks light.  Use |sfe for pastel.
q		1.3.4	pastel	pastel	|fen|bi			fsi,skr	sfe		$x_1$ is pastel in color	The color is low in saturation.
q		1.3.4	white	uait	/bai	alb.us	blabi		vba		$x_1$ is white	A color, not a nationality.
q		1.3.4	blond	blond	-	-	londa		zbo		$x_1$ is blond	A color special to human hair.
q		1.3.4	orange	or#nj	/dx/huaw		norji		xdw		$x_1$ is orange	
q		1.3.4	black	blak	-hei	nyger	nigro		xge		$x_1$ is black	A color, not a nationality.
q		1.3.4	green	grin	-ciw	vyryd.ys	vegri		xgi		$x_1$ is green	
q		1.3.4	brilliant,light,bright	brayt	-guaw/myw	spendid.us	brili	skr,fsi	xgm		$x_1$ is bright	Brilliant, high intensity color or full of light.  Not for ``intelligent'' (-kua -swy or similar metaphor).
q		1.3.4	yellow	ielo	/huaw	flav.us	pelto		zgl		$x_1$ is yellow	
r		1.3.4,1.3.6	color	kolor	!ci!se	kolor	kolro		kor		$x_1$ has a color similar to the color of prototype (xi) $x_2$	Use -xu -kor for ``the color of X2''.
r		1.3.4,1.3.6	look,appearance	l#k	!sian!siaw	spekies			sie		$x_1$ looks like prototype (xi) $x_2*$	Similar in appearance.  For general similarity use -smy.
t		1.3.5	Texture	-	-	-			135			
q		1.3.5	soft	saft	|ruan	mol.ys	molro	zdr	ftm		$x_1$ is soft	
q		1.3.5	dry	drai	-gan	syk.us	drani	qum	ksy		$x_1$ is dry	Lacks liquid.
q		1.3.5	smooth	smut	/pyw	lev.ys	smupi	tsr	spy		$x_1$ is smooth in texture	
q		1.3.5	spring,elastic	ilastyk	/tan!siw		lasti	xgy,spwy	tsi		$x_1$ is elastic or springy	
q		1.3.5	rough	r#f	-tsu	asper	rofsu	spy,vme	tsr		$x_1$ is rough in texture	Use -vme for violent.
q		1.3.5	stiff	styf	!iyw	rygyd.us	stifa	tsi	xgy		$x_1$ is stiff	Resists bending or deformation.
q		1.3.5	soft,malleable	mali#bl	|ran	lent.us	ranta*		zbl		$x_1$ is malleable	Shape is easily changed.
r		1.3.5,1.3.6	texture,feel	fil	/jr	tekstura		gae,ciw	jra		$x_1$ feels like prototype (xi) $x_2$	Similar in texture.  Use -smy for general similarity.
t		1.3.6	Physical Properties of Objects	-	-	-			136			
r		1.3.6,1.3.7	odor,smell	smel	!uei	odor	sutme		xel		$x_1$ smells like prototype (xi) $x_2*$	
r		1.3.6,1.3.7	flavor,taste	flavor	-dz!uei	sapor	gusto		zao		$x_1$ tastes like prototype (xi) $x_2*$	X2 is a food.  Use metaphor, not compound, for (e.g.) hot.
r		1.3.6,1.4.4,1.5.1	here,location	hir	!je|li	hyk	hijra	cnu,qlo,jr	jir		$x_1:$ is here, is at the same place as, has location (jr) $x_2*M5$	Typically objects but may be events.  
r		1.3.6,3.5.6,1.4.4	duration,last	last	/ien/tsaw	dur.are	ditcu*	gyn	swa		$x_1$ IEC the amount of time that process (vo) $x_2+$ lasts	
r		1.3.6,4.5.2,1.5.6	unit	iunyt	-dan!uei	mensura	skalu		xnu		$x_1:!$ IEC a unit of measure for quality (vo) $x_3+1$ times amount (xu) $x_2$	For foreign units, modify -xnu by metaphor with the foreign name.
t		1.3.7	Biological Properties	-	-	-			137			
q		1.3.7	fertile	fertyl	/fei!uo	fekund.us	ferti		cfe		field $x_1$ is fertile for crop (xo) $x_2*$	
q		1.3.7	young	i#w	/nian-ciw	parv.us	junti	xda	fpa		$x_1$ is young	
q		1.3.7	rotten,infest,scavenger	ratn	|fu!lan	putryd.us	ranta	ksi,zbi	fpu		$x_1$ is rotten, infested with scavengers (xo) $x_2*$	X2 are bacterial or metazoan scavengers (maggots).
q		1.3.7	healthy	helti	!jian-kaw	san.us	djela	zbi	fti		$x_1$ is healthy	
q		1.3.7	fresh,undamaged,unused	freq	-sin-sian	rekens	frese	fpu,psn,ste	ksi		$x_1$ is fresh	Undamaged by age or use.
q		1.3.7	relax	rilaks	-faw-suw	laks.ere	surla*	sil,bzi	ksw		$x_1$ is relaxed	
q		1.3.7	sour	saur	-suan	akerb.us	sarni		qke		$x_1$ is sour	Tastes like acid.
q		1.3.7	bitter	bytr	|ku	amar.us	kutra		zby		$x_1$ is bitter in flavor	
q		1.3.7	old	old	|lau	grand.ys	laldo	fpa,bir,ste	xda		$x_1$ is old	Been alive a long time; use -bir for ancient.  |pa for how old, low numbers permitted.
q		1.3.7	sweet	suit	/tian	dulk.ys	sliti		xdu		$x_1$ is sweet	
q		1.3.7,4.6.4	wild,tame	uild	|ie	fer.us	cilce*		dvi		$x_1$ is wild	Not domesticated.  Use -gr -dvi for tame.
t		1.4.0	Directional Properties	-	-	-			140			Often compounded with motion words.  Frequently they seem backward to an English speaker, e.g. ``from above'' rather than ``downward''.
t		1.4.1	Vertical	-	-	-			141			Use |vrl for a reference frame.
r		1.4.1	below,up	bilo	!dzai!sia	ynfra	nilca	qmy	bil		$x_1$ is below $x_2:*$	Lower and on a vertical line.  Motion from below.
r		1.4.1	arch	arc	-guw-qiw	fornyks	farka	bryo	for		$x_1$ arches over $x_2:*$	
r		1.4.1	high	hai	-gau	alt.us	ganta	xyl	gal		$x_1$ is higher than $x_2:*$	Geometrically.
r		1.4.1	above,down	#b#v	!qaw!myan	supra	tovru	bil	qmy		$x_1$ is above $x_2:*$	Higher and on a vertical line.  Movement from above.
q		1.4.1	vertical	vrtyk#l	/jr!li	rekt.us	vreti		vjr		$x_1$ is vertical	
r		1.4.1	low	lou	-di	humyl.ys	damni	gal	xyl		$x_1$ is lower than $x_2:*$	Geometrically.
t		1.4.2	Horizontal	-	-	-			142			Use |vrl for a reference frame.
r		1.4.2	north	nort	|bei	septentr.yo	nordi	tau	ber		$x_1$ is north of $x_2:*$	
r		1.4.2	beside	bisaid	/ge!bi	iuksta		tao	bie		$x_1$ is beside $x_2:*$	Next in a spatial sequence, usually horizontal and perpendicular to line of sight.
r		1.4.2	front	fr#nt	/qian!mian	pro	frena	zon	fro		$x_1$ is in front of $x_2:*$	
r		1.4.2	center,middle	sentr	-juw-jian	medi.us	midju	cunu,xne,dyn	juw		$x_1$ is in the center of $x_2s:*$	A central subset (of a set or territory).  Use -dyn for center point, -cunu for nucleus.
r		1.4.2	back	bak	!dzay!hou	pone	prire	fro	zon		$x_1$ is in back of $x_2:*$	
r		1.4.2	west,deasil	uest	-si	oksydens	lusta	xye	sye		$x_1$ is west of $x_2:*$	Use -jur -sye for turning deasil.
r		1.4.2	south	saut	/nan	austral.ys	surdi	ber	tau		$x_1$ is south of $x_2:*$	
r		1.4.2	right	rait	!iou	dekster	ritco	vle	tio		$x_1$ is to the right of $x_2:*$	
r		1.4.2	left	left	|dzuo	laev.us	ledzo	tio	vle		$x_1$ is to the left of $x_2:*$	
q		1.4.2	horizontal,level	levl	|quei/piw	lybr.are	lelpi	fsr	xbr		$x_1$ is horizontal or level	Use -fsr for flat.
r		1.4.2	east,widdershins	ist	-d#w	oryens	lesta	sye	xye		$x_1$ is east of $x_2:*$	-jur -xye for turning widdershins.
t		1.4.3	Adjacency	-	-	-			143			
r		1.4.3	cross,intersect	kras	/h#w-cie	trans.yre		sew	cra		$x_1:$ crosses, intersects $x_2:$	Emphasizes the geometry or fact of intersection.  |jir for the intersection point or line.
r		1.4.3	far	far	|uan	prokul	darli	vny	far		$x_1$ is far away from $x_2:*$	
r		1.4.3	cover	k#vr	!fu!gai	teg.ere	kuvga	cul	gai		(xo) $x_2*$ covers $x_1:$	X2 can be a specific object (needs -xe) or a serving/portion, i.e. blood.
r		1.4.3	surround	sraund	/uei!ju	kyng.ere	krudi*	canu	jui		$x_2*$ surrounds $x_1:$	
r		1.4.3	separate	sep#r#t	-fen-kai	separat.us	narti	tao	pae		$x_1:$ is separate from $x_2:*?$	Not attached, not part of, though potentially part of X2.  With motion words, X2 merges with the start point (3rd case).
r		1.4.3	penetrate	penetrait	!jin!ru	penetr.are	tceru		pne		$x_1$ penetrates $x_2:*$	Statically.  -can -pne or -kri -pne for dynamic penetration.
r		1.4.3	neighbor,contact,touch,close	kontakt	-jie!cu	takt.us	nedza	pae,tmu,klo,bie	tao		$x_1$ is in contact with neighbor $x_2*$	Geometrically.  -pwo -kuo for X1 can talk to X2 (in touch).
r		1.4.3	neighbor,near	nir	!jin	vykyn.us	snire	far	vny		$x_1$ is near to neighbor $x_2*$	
r		1.4.3	between	bituin	-x/jien	ynter	bitsa	vdr,juw	xne		$x_1$ is between $x_2:$ and $x_3:$	No case merge.  Use -juw or -vdr for among.
t		1.4.4	Time and Miscellaneous	-	-	-			144			
r		1.4.4	across	#kras	/hew!guo	trans	karsa		sra		$x_1$ is across $x_2:$ from $x_3:$	X2 is a separating zone and X1 is the closest point to X3 on the opposite side.
r	12	1.4.4	outside,out	autsaid	!uai!mian	ekster	zvoto	xyn	tai		$x_1$ is outside of $x_2:*?$	With motion words, X2 merges with the start point (3rd case).
r	8	1.4.4,1.1.3	inside,interior,in	ynsaid	|li!mian	yntra	nenri	tai,bor	xyn		$x_1$ is inside of $x_2:*$	-xu -xyn for the interior of a boundary.
r	13	1.4.4,1.3.6,1.5.1	present,now,time	nou	!mi/cian	nunk	nadzo	jir,bir,jro	cnu		(vo) $x_1@!$ occurs at the same time as, at time (vo-jn) $x_2+M4$	Present tense.  
r	23	1.4.4,1.5.1	past,early,before	bifor	!guo!ciu!qr	pri.us	pasko	jro,cnu,xda	bir		(vo) $x_1@!$ is before time (vo-jn) $x_2+M4$	Past tense.  
r	21	1.4.4,1.5.1	future,after,late,then	aftr	-jr!hou	post	futci	bir,cnu	jro		(vo) $x_1@!$ is later than time (vo-jn) $x_2+M4$	Future tense.  
r		1.4.4,1.5.4	reverse,backwards	bakuardz	|fan|juan	retro		vri	fau		$x_1$ is oriented in the reverse direction from $x_2:*$	
r		1.4.4,2.2.7	direction,vector	dyrekqn	-faw!siaw	kurs.us	dirco	qkur	qyr		$x_1$ is the direction to destination $x_2*$ from origin $x_3$	The tangent at 0 to a geodesic C(t) such that C(0) = X3, C(1) = X2.  X1 is typically a list of components.
t		1.5.0	Words for Organizing the Discourse  	-	-	-			150			
t		1.5.1	Modal Cases, Most Frequently Used	-	-	-			151			See also 0.2.4 for modal default stack controls.
t		1.5.2	Modal Cases, Less Frequently Used	-	-	-			152			
t		1.5.3	Sentence Connectives	-	-	-			153			If you do not like to use two explicit infinitives, use -:o.
t		1.5.4	Negation	-	-	-			154			
r		1.5.4	reverse,backwards	rivrs	|fan|juan	ynvert.ere		vri,fay	vry		process (vo) $x_1$ occurs in the reverse of its usual order	
t		1.5.5	Decorations	-	-	-			155			Linked with -vi.  Some of these words show the speaker's attitude; others show the role of the sentence in the discourse.
q	18	1.5.5	paragraph	paragraf	!duan	kaput	nau		gza		(vo) $x_1$ is a paragraph	Actually the 1st sentence of a paragraph.
q		1.5.5	thesis	tisys	!j#w!mien				qti		(vo) $x_1$ is a thesis	A statement which subsequent discourse will support.
q		1.5.5	conclusion	kunkluzin	/jiel!u#n	kunklusio	ranpe		sku		(vo) $x_1$ is a conclusion	The statement which prior discourse has demonstrated.
t		1.5.6	Identity Transformations	-	-	-			156			
t		2.0.0	Activities	-	-	-			200			Virtually all activities have an actor in the first case.
t		2.1.0	Abstract Behaviors and Multi-Actor Activities	-	-	-			210			In an abstract behavior the activity is given by a separate predicate in an infinitive, usually compounded.
t		2.1.1	Abstract Behaviors for Compounds	-	-	-			211		actor $x_1$ does action (vo) $x_2+1$	
r		2.1.1	need	nid	!bi-su	eg.are	cnida	daw,sar,sno	bni		$x_1$ needs to do (vo) $x_2:+1$ so it will have result (vo) $x_3+1@$	Example: !X1 /bni -byw -kqua = X1 needs to drink water, not needs water.
r	25	2.1.1	change,become	canj	!bian!hua	mut.ary	cenja	tar,siw	can		$x_1$ changes so property (vo) $x_2+1$ becomes true	Most of the time use -can, but use -tar to emphasize starting.
r		2.1.1	order,command	ordr	!miw!liw	yus.um	korji	pli,kmi,zno	dwl		$x_1$ is ordered to do (vo) $x_2+1$ by commander $x_3$	
r		2.1.1	custom,habit	kustm	-few/su	us.us	kusmo	tue,tiu	fwu		$x_1$ habitually or customarily does (vo) $x_2:+1$	Use -tue for customs of a culture.
r		2.1.1	temporary,transient	temporari	!jan/qr		zasni*	tiu,zai	por		$x_1$ temporarily is or does (vo) $x_2:+1$	
r		2.1.1	capable	kapabl	/new-gou	pose	kanmo	juy,spo	pwo		$x_1$ is capable of doing (vo) $x_2:+1$	
r		2.1.1	fail	fail	-qr!bai	konkyd.ere	falba	flr	qai		$x_1$ fails to do (vo) $x_2:+1$	Implies that the actor tried to do it.  Use -gr -poy -gl -qyn for irresponsible negligence.
r	45	2.1.1	make,transitive	maik	|qr	fak.ere	madzo	kau,dma	qma		actor $x_1$ makes (vo) $x_2:+$ happen	Makes transitive meanings.  No case merge.  Not for building things.
r		2.1.1	start	start	-kai|qr	ynkyp.ere		tiw,can	tar		$x_1$ starts being or doing (vo) $x_2:+1$	To emphasize the starting; use -can for most changes.
r		2.1.1	revert	ritrn	/huei/lai	reverti	genza	can	til		$x_1$ reverts to have property (vo) $x_2+1$ after a lapse	
r		2.1.1	continuous	kuntyniu#s	!ji!siu	kontinu.#s	stolo	por,fwu,zai	tiu		$x_1$ continuously is or does (vo) $x_2:+1$	
r		2.1.1	stop	stap	/tiw	desyn.ere	stise	tar,can,siw	tiw		$x_1$ stops being or doing (vo) $x_2:+1$	To emphasize the stopping; use -can or -siw for most changes.
r		2.1.1	repeat	ripit	!dzai-san	yter.are	genza*	tiu,por,xer	zai		$x_1$ repeatedly is or does (vo) $x_2:+1$	Separated by times when it doesn't do it.
r		2.1.1,1.1.8	increase,decrease	ynkris	-jia!da	kresk.yre	tenri		kri		the amount, degree or quantity of property (vo) $x_1$ increases	Use -gr -kri for decrease.
r		2.1.1,1.5.4	stop,cease	sis	/tiw|jr	desyn.ere		tiw,can	siw		$x_1$ ceases to be (vo) $x_2:+1$	Normal form for a negated change.  Use -tiw to emphasize the stopping.
